Source,Target,Weight,Type
brentano_die-gruendung-prags-1814,goethe_faust-der-tragoedie-zweiter-teil-1832,77,undirected
brentano_die-gruendung-prags-1814,kleist_penthesilea-1808,6,undirected
brentano_die-gruendung-prags-1814,schiller_die-jungfrau-von-orleans-1801,33,undirected
brentano_die-gruendung-prags-1814,schiller_wilhelm-tell-1804,18,undirected
brentano_die-gruendung-prags-1814,schlegel_alarcos-1802,44,undirected
brentano_die-gruendung-prags-1814,werner_der-vierundzwanzigste-februar-1809,39,undirected
brentano_ponce-de-leon-1803,goethe_der-buergergeneral-1793,14,undirected
brentano_ponce-de-leon-1803,schiller_kabale-und-liebe-1784,3,undirected
brentano_ponce-de-leon-1803,tieck_die-verkehrte-welt-1800,16,undirected
brentano_ponce-de-leon-1803,tieck_prinz-zerbino-1799,46,undirected
brentano_ponce-de-leon-1803,tieck_ritter-blaubart-1797,26,undirected
goethe_der-buergergeneral-1793,brentano_ponce-de-leon-1803,14,undirected
goethe_der-buergergeneral-1793,kotzebue_die-deutschen-kleinstaedter-1802,24,undirected
goethe_der-buergergeneral-1793,tieck_die-verkehrte-welt-1800,37,undirected
goethe_der-buergergeneral-1793,tieck_prinz-zerbino-1799,9,undirected
goethe_der-buergergeneral-1793,tieck_ritter-blaubart-1797,6,undirected
goethe_der-grosskophta-1791,iffland_das-erbtheil-des-vaters-1802,8,undirected
goethe_der-grosskophta-1791,schiller_die-piccolomini-1799,11,undirected
goethe_der-grosskophta-1791,schiller_kabale-und-liebe-1784,37,undirected
goethe_der-grosskophta-1791,schiller_wallensteins-tod-1799,1,undirected
goethe_der-grosskophta-1791,tieck_prinz-zerbino-1799,34,undirected
goethe_die-natuerliche-tochter-1803,goethe_faust-der-tragoedie-zweiter-teil-1832,77,undirected
goethe_die-natuerliche-tochter-1803,goethe_torquato-tasso-1790,66,undirected
goethe_die-natuerliche-tochter-1803,schiller_die-braut-von-messina-1803,1,undirected
goethe_die-natuerliche-tochter-1803,schiller_maria-stuart-1800,14,undirected
goethe_faust-der-tragoedie-zweiter-teil-1832,brentano_die-gruendung-prags-1814,77,undirected
goethe_faust-der-tragoedie-zweiter-teil-1832,goethe_die-natuerliche-tochter-1803,77,undirected
goethe_faust-der-tragoedie-zweiter-teil-1832,goethe_torquato-tasso-1790,34,undirected
goethe_faust-der-tragoedie-zweiter-teil-1832,schiller_die-piccolomini-1799,3,undirected
goethe_faust-der-tragoedie-zweiter-teil-1832,schiller_wallensteins-lager-1798,2,undirected
goethe_faust-der-tragoedie-zweiter-teil-1832,schiller_wilhelm-tell-1804,5,undirected
goethe_faust-der-tragoedie-zweiter-teil-1832,schlegel_alarcos-1802,5,undirected
goethe_faust-der-tragoedie-zweiter-teil-1832,tieck_prinz-zerbino-1799,12,undirected
goethe_faust-der-tragoedie-zweiter-teil-1832,werner_der-vierundzwanzigste-februar-1809,17,undirected
goethe_torquato-tasso-1790,goethe_die-natuerliche-tochter-1803,66,undirected
goethe_torquato-tasso-1790,goethe_faust-der-tragoedie-zweiter-teil-1832,34,undirected
goethe_torquato-tasso-1790,schiller_die-piccolomini-1799,8,undirected
goethe_torquato-tasso-1790,schiller_wallensteins-tod-1799,2,undirected
goethe_torquato-tasso-1790,tieck_prinz-zerbino-1799,10,undirected
iffland_das-erbtheil-des-vaters-1802,goethe_der-grosskophta-1791,8,undirected
iffland_das-erbtheil-des-vaters-1802,iffland_der-spieler-1796,90,undirected
iffland_das-erbtheil-des-vaters-1802,kotzebue_menschenhass-und-reue-1788,34,undirected
iffland_das-erbtheil-des-vaters-1802,tieck_die-verkehrte-welt-1800,21,undirected
iffland_der-spieler-1796,iffland_das-erbtheil-des-vaters-1802,90,undirected
iffland_der-spieler-1796,kotzebue_der-hyperboreische-esel-1799,16,undirected
iffland_der-spieler-1796,kotzebue_menschenhass-und-reue-1788,20,undirected
iffland_der-spieler-1796,schiller_kabale-und-liebe-1784,36,undirected
iffland_der-spieler-1796,tieck_die-verkehrte-welt-1800,1,undirected
kleist_amphitryon-1807,kleist_der-zerbrochene-krug-1808,59,undirected
kleist_amphitryon-1807,kleist_die-familie-schroffenstein-1803,41,undirected
kleist_amphitryon-1807,kleist_die-hermannsschlacht-1808,57,undirected
kleist_amphitryon-1807,kleist_penthesilea-1808,31,undirected
kleist_amphitryon-1807,kleist_prinz-friedrich-von-homburg-1810,18,undirected
kleist_der-zerbrochene-krug-1808,kleist_amphitryon-1807,59,undirected
kleist_der-zerbrochene-krug-1808,kleist_die-hermannsschlacht-1808,18,undirected
kleist_der-zerbrochene-krug-1808,kleist_penthesilea-1808,3,undirected
kleist_der-zerbrochene-krug-1808,kleist_prinz-friedrich-von-homburg-1810,24,undirected
kleist_der-zerbrochene-krug-1808,werner_der-vierundzwanzigste-februar-1809,22,undirected
kleist_die-familie-schroffenstein-1803,kleist_amphitryon-1807,41,undirected
kleist_die-familie-schroffenstein-1803,kleist_prinz-friedrich-von-homburg-1810,2,undirected
kleist_die-familie-schroffenstein-1803,schiller_die-piccolomini-1799,17,undirected
kleist_die-familie-schroffenstein-1803,schiller_wallensteins-tod-1799,35,undirected
kleist_die-hermannsschlacht-1808,kleist_amphitryon-1807,57,undirected
kleist_die-hermannsschlacht-1808,kleist_der-zerbrochene-krug-1808,18,undirected
kleist_die-hermannsschlacht-1808,kleist_penthesilea-1808,81,undirected
kleist_die-hermannsschlacht-1808,kleist_prinz-friedrich-von-homburg-1810,84,undirected
kleist_die-hermannsschlacht-1808,schiller_die-piccolomini-1799,1,undirected
kleist_penthesilea-1808,brentano_die-gruendung-prags-1814,6,undirected
kleist_penthesilea-1808,kleist_amphitryon-1807,31,undirected
kleist_penthesilea-1808,kleist_der-zerbrochene-krug-1808,3,undirected
kleist_penthesilea-1808,kleist_die-hermannsschlacht-1808,81,undirected
kleist_penthesilea-1808,kleist_prinz-friedrich-von-homburg-1810,60,undirected
kleist_prinz-friedrich-von-homburg-1810,kleist_amphitryon-1807,18,undirected
kleist_prinz-friedrich-von-homburg-1810,kleist_der-zerbrochene-krug-1808,24,undirected
kleist_prinz-friedrich-von-homburg-1810,kleist_die-familie-schroffenstein-1803,2,undirected
kleist_prinz-friedrich-von-homburg-1810,kleist_die-hermannsschlacht-1808,84,undirected
kleist_prinz-friedrich-von-homburg-1810,kleist_penthesilea-1808,60,undirected
kleist_prinz-friedrich-von-homburg-1810,schiller_wallensteins-tod-1799,3,undirected
kotzebue_der-hyperboreische-esel-1799,iffland_der-spieler-1796,16,undirected
kotzebue_der-hyperboreische-esel-1799,kotzebue_die-deutschen-kleinstaedter-1802,11,undirected
kotzebue_der-hyperboreische-esel-1799,kotzebue_menschenhass-und-reue-1788,27,undirected
kotzebue_der-hyperboreische-esel-1799,schiller_kabale-und-liebe-1784,2,undirected
kotzebue_der-hyperboreische-esel-1799,tieck_die-verkehrte-welt-1800,1,undirected
kotzebue_der-hyperboreische-esel-1799,tieck_prinz-zerbino-1799,33,undirected
kotzebue_die-deutschen-kleinstaedter-1802,goethe_der-buergergeneral-1793,24,undirected
kotzebue_die-deutschen-kleinstaedter-1802,kotzebue_der-hyperboreische-esel-1799,11,undirected
kotzebue_die-deutschen-kleinstaedter-1802,kotzebue_menschenhass-und-reue-1788,43,undirected
kotzebue_die-deutschen-kleinstaedter-1802,tieck_die-verkehrte-welt-1800,32,undirected
kotzebue_die-deutschen-kleinstaedter-1802,tieck_prinz-zerbino-1799,22,undirected
kotzebue_menschenhass-und-reue-1788,iffland_das-erbtheil-des-vaters-1802,34,undirected
kotzebue_menschenhass-und-reue-1788,iffland_der-spieler-1796,20,undirected
kotzebue_menschenhass-und-reue-1788,kotzebue_der-hyperboreische-esel-1799,27,undirected
kotzebue_menschenhass-und-reue-1788,kotzebue_die-deutschen-kleinstaedter-1802,43,undirected
kotzebue_menschenhass-und-reue-1788,schiller_kabale-und-liebe-1784,83,undirected
kotzebue_menschenhass-und-reue-1788,tieck_der-gestiefelte-kater-1797,1,undirected
kotzebue_menschenhass-und-reue-1788,tieck_die-verkehrte-welt-1800,2,undirected
kotzebue_menschenhass-und-reue-1788,tieck_prinz-zerbino-1799,29,undirected
schiller_die-braut-von-messina-1803,goethe_die-natuerliche-tochter-1803,1,undirected
schiller_die-braut-von-messina-1803,schiller_die-jungfrau-von-orleans-1801,52,undirected
schiller_die-braut-von-messina-1803,schiller_maria-stuart-1800,29,undirected
schiller_die-braut-von-messina-1803,schiller_wallensteins-tod-1799,16,undirected
