Source,Target,Weight,Type
brentano_die-gruendung-prags-1814,goethe_die-natuerliche-tochter-1803,1,undirected
brentano_die-gruendung-prags-1814,goethe_faust-der-tragoedie-zweiter-teil-1832,64,undirected
brentano_die-gruendung-prags-1814,kleist_die-hermannsschlacht-1808,1,undirected
brentano_die-gruendung-prags-1814,kleist_penthesilea-1808,6,undirected
brentano_die-gruendung-prags-1814,schiller_die-braut-von-messina-1803,6,undirected
brentano_die-gruendung-prags-1814,schiller_die-jungfrau-von-orleans-1801,48,undirected
brentano_die-gruendung-prags-1814,schiller_wilhelm-tell-1804,18,undirected
brentano_die-gruendung-prags-1814,schlegel_alarcos-1802,24,undirected
brentano_die-gruendung-prags-1814,werner_der-vierundzwanzigste-februar-1809,16,undirected
brentano_ponce-de-leon-1803,goethe_der-buergergeneral-1793,4,undirected
brentano_ponce-de-leon-1803,tieck_die-verkehrte-welt-1800,19,undirected
brentano_ponce-de-leon-1803,tieck_prinz-zerbino-1799,54,undirected
brentano_ponce-de-leon-1803,tieck_ritter-blaubart-1797,43,undirected
goethe_der-buergergeneral-1793,brentano_ponce-de-leon-1803,4,undirected
goethe_der-buergergeneral-1793,kleist_der-zerbrochene-krug-1808,3,undirected
goethe_der-buergergeneral-1793,kotzebue_die-deutschen-kleinstaedter-1802,27,undirected
goethe_der-buergergeneral-1793,tieck_die-verkehrte-welt-1800,49,undirected
goethe_der-buergergeneral-1793,tieck_prinz-zerbino-1799,13,undirected
goethe_der-buergergeneral-1793,tieck_ritter-blaubart-1797,18,undirected
goethe_der-grosskophta-1791,iffland_das-erbtheil-des-vaters-1802,14,undirected
goethe_der-grosskophta-1791,kotzebue_menschenhass-und-reue-1788,6,undirected
goethe_der-grosskophta-1791,schiller_die-piccolomini-1799,8,undirected
goethe_der-grosskophta-1791,schiller_kabale-und-liebe-1784,44,undirected
goethe_der-grosskophta-1791,tieck_der-gestiefelte-kater-1797,1,undirected
goethe_der-grosskophta-1791,tieck_prinz-zerbino-1799,41,undirected
goethe_die-natuerliche-tochter-1803,brentano_die-gruendung-prags-1814,1,undirected
goethe_die-natuerliche-tochter-1803,goethe_faust-der-tragoedie-zweiter-teil-1832,107,undirected
goethe_die-natuerliche-tochter-1803,goethe_torquato-tasso-1790,87,undirected
goethe_die-natuerliche-tochter-1803,schiller_die-braut-von-messina-1803,14,undirected
goethe_die-natuerliche-tochter-1803,schiller_maria-stuart-1800,4,undirected
goethe_die-natuerliche-tochter-1803,schlegel_alarcos-1802,6,undirected
goethe_faust-der-tragoedie-zweiter-teil-1832,brentano_die-gruendung-prags-1814,64,undirected
goethe_faust-der-tragoedie-zweiter-teil-1832,goethe_die-natuerliche-tochter-1803,107,undirected
goethe_faust-der-tragoedie-zweiter-teil-1832,goethe_torquato-tasso-1790,49,undirected
goethe_faust-der-tragoedie-zweiter-teil-1832,schiller_die-piccolomini-1799,4,undirected
goethe_faust-der-tragoedie-zweiter-teil-1832,schiller_wallensteins-lager-1798,2,undirected
goethe_faust-der-tragoedie-zweiter-teil-1832,schiller_wilhelm-tell-1804,3,undirected
goethe_faust-der-tragoedie-zweiter-teil-1832,schlegel_alarcos-1802,1,undirected
goethe_faust-der-tragoedie-zweiter-teil-1832,tieck_prinz-zerbino-1799,31,undirected
goethe_faust-der-tragoedie-zweiter-teil-1832,werner_der-vierundzwanzigste-februar-1809,20,undirected
goethe_torquato-tasso-1790,goethe_die-natuerliche-tochter-1803,87,undirected
goethe_torquato-tasso-1790,goethe_faust-der-tragoedie-zweiter-teil-1832,49,undirected
goethe_torquato-tasso-1790,kleist_die-familie-schroffenstein-1803,3,undirected
goethe_torquato-tasso-1790,schiller_die-piccolomini-1799,8,undirected
goethe_torquato-tasso-1790,schiller_wallensteins-tod-1799,3,undirected
goethe_torquato-tasso-1790,tieck_prinz-zerbino-1799,12,undirected
iffland_das-erbtheil-des-vaters-1802,goethe_der-grosskophta-1791,14,undirected
iffland_das-erbtheil-des-vaters-1802,iffland_der-spieler-1796,114,undirected
iffland_das-erbtheil-des-vaters-1802,kotzebue_der-hyperboreische-esel-1799,3,undirected
iffland_das-erbtheil-des-vaters-1802,kotzebue_menschenhass-und-reue-1788,53,undirected
iffland_das-erbtheil-des-vaters-1802,schiller_kabale-und-liebe-1784,1,undirected
iffland_das-erbtheil-des-vaters-1802,tieck_die-verkehrte-welt-1800,19,undirected
iffland_das-erbtheil-des-vaters-1802,tieck_prinz-zerbino-1799,1,undirected
iffland_der-spieler-1796,iffland_das-erbtheil-des-vaters-1802,114,undirected
iffland_der-spieler-1796,kotzebue_der-hyperboreische-esel-1799,28,undirected
iffland_der-spieler-1796,kotzebue_die-deutschen-kleinstaedter-1802,3,undirected
iffland_der-spieler-1796,kotzebue_menschenhass-und-reue-1788,22,undirected
iffland_der-spieler-1796,schiller_kabale-und-liebe-1784,62,undirected
iffland_der-spieler-1796,tieck_die-verkehrte-welt-1800,1,undirected
iffland_der-spieler-1796,tieck_prinz-zerbino-1799,1,undirected
kleist_amphitryon-1807,kleist_der-zerbrochene-krug-1808,76,undirected
kleist_amphitryon-1807,kleist_die-familie-schroffenstein-1803,63,undirected
kleist_amphitryon-1807,kleist_die-hermannsschlacht-1808,75,undirected
kleist_amphitryon-1807,kleist_penthesilea-1808,23,undirected
kleist_amphitryon-1807,kleist_prinz-friedrich-von-homburg-1810,26,undirected
kleist_der-zerbrochene-krug-1808,goethe_der-buergergeneral-1793,3,undirected
kleist_der-zerbrochene-krug-1808,kleist_amphitryon-1807,76,undirected
kleist_der-zerbrochene-krug-1808,kleist_die-hermannsschlacht-1808,23,undirected
kleist_der-zerbrochene-krug-1808,kleist_penthesilea-1808,2,undirected
kleist_der-zerbrochene-krug-1808,kleist_prinz-friedrich-von-homburg-1810,32,undirected
kleist_der-zerbrochene-krug-1808,werner_der-vierundzwanzigste-februar-1809,43,undirected
kleist_die-familie-schroffenstein-1803,goethe_torquato-tasso-1790,3,undirected
kleist_die-familie-schroffenstein-1803,kleist_amphitryon-1807,63,undirected
kleist_die-familie-schroffenstein-1803,kleist_die-hermannsschlacht-1808,20,undirected
kleist_die-familie-schroffenstein-1803,kleist_prinz-friedrich-von-homburg-1810,5,undirected
kleist_die-familie-schroffenstein-1803,schiller_die-piccolomini-1799,7,undirected
kleist_die-familie-schroffenstein-1803,schiller_wallensteins-tod-1799,32,undirected
kleist_die-hermannsschlacht-1808,brentano_die-gruendung-prags-1814,1,undirected
kleist_die-hermannsschlacht-1808,kleist_amphitryon-1807,75,undirected
kleist_die-hermannsschlacht-1808,kleist_der-zerbrochene-krug-1808,23,undirected
kleist_die-hermannsschlacht-1808,kleist_die-familie-schroffenstein-1803,20,undirected
kleist_die-hermannsschlacht-1808,kleist_penthesilea-1808,101,undirected
kleist_die-hermannsschlacht-1808,kleist_prinz-friedrich-von-homburg-1810,108,undirected
kleist_penthesilea-1808,brentano_die-gruendung-prags-1814,6,undirected
