"Auto_Italienische_Reise.11f7b.0" "Drama_Die_Mitschuldigen.11hb1.0" "Drama_Egmont.11g9w.0" "Drama_Faust__in_urspruenglicher_Gestalt_.11f7n.0" "Drama_Faust._Der_Tragoedie_zweiter_Teil.11d11.0" "Drama_Goetter,_Helden_und_Wieland.11h60.0" "Drama_Goetz_von_Berlichingen_mit_der_eisernen_Hand.11g1d.0" "Drama_Iphigenie_auf_Tauris.11f78.0" "Drama_Prometheus.11gx9.0" "Drama_Satyros_oder_der_vergoetterte_Waldteufel.11gn9.0" "Lyrik_Elegien_1.11df4.0" "Lyrik_Elegien_2_Alexis_und_Dora.11g90.0" "Lyrik_Elegien_2_Der_neue_Pausias_und_sein_Blumenmaedchen.11g73.0" "Lyrik_Elegien_2_Euphrosyne.11ft0.0" "Lyrik_Gott,_Gemuet_und_Welt.11hks.0" "Lyrik_Zahme_Xenien_4.11d4r.0" "Roman_Die_Leiden_des_jungen_Werther.11cvr.0" "Roman_Die_Wahlverwandtschaften.11hnp.0" "Roman_Wilhelm_Meisters_Lehrjahre.11d3w.0"
"und" 3.60226072914726 2.58978394620117 3.41463414634146 3.31192124801869 2.67324608453122 4.0983606557377 3.28429187100609 3.37351020133324 5.18060836501901 3.69989722507708 3.72866127583109 3.5230352303523 3.81970970206264 4.00296515937732 4.2962962962963 2.83152430391694 3.73008056165871 3.2683862500631 3.7431368113677
"die" 2.86628159741631 1.40220346258406 2.24310275889644 1.9437724201218 2.04677107916756 1.95025438100622 1.66072224699064 2.38367786681032 1.52091254752852 1.3018156903049 3.12219227313567 4.3360433604336 3.74331550802139 2.44625648628614 2.51851851851852 1.79329872581406 2.31583200747531 2.34718085911867 2.35970305784614
"der" 2.41988075274828 1.71698383173558 1.8952419032387 1.63510469675482 1.96953443467067 2.03504804974562 1.67558329618071 2.76075685139048 1.42585551330798 1.78143199725934 2.62803234501348 2.30352303523035 3.13216195569137 3.03928836174944 2.51851851851852 1.22699386503067 2.01025330201783 1.95472212407249 2.03582224598491
"ich" 1.63809701260791 3.24796108169981 2.20711715313874 2.33586385250688 1.75498819995709 2.20463538722442 2.79387724773369 1.95273045586156 2.51901140684411 2.6378896882494 1.99910152740341 2.1680216802168 3.13216195569137 1.40845070422535 0.296296296296296 2.26521944313355 3.05326161072809 0.82277522588461 1.55719837956775
"zu" 1.45487857897025 1.07311489483474 1.43942423030788 1.10953532994077 1.40313237502682 1.01752402487281 1.52697280427998 1.25244091306983 1.42585551330798 0.92497430626927 1.05570530098832 1.01626016260163 0.840336134453782 0.889547813194959 0.592592592592593 1.03822557810288 1.47233376265879 1.96481752561708 1.90524172818688
"sie" 0.845444382336501 2.36085276863643 1.33946421431427 1.23467089346792 1.05556747479082 1.10231769361221 1.26318918115619 1.20530603999731 2.75665399239544 0.479616306954436 2.13387241689128 0.880758807588076 0.916730328495034 0.963676797627873 0.888888888888889 1.93487494100991 1.97994797585676 2.31184695371258 1.88827654280368
"er" 0.602447052978076 1.90299041350694 1.5233906437425 0.909318428297322 0.798111993134521 0.989259468626343 1.42294545994947 0.727223755976029 0.380228136882129 0.513874614594039 0.718778077268643 0.609756097560976 0.611153552330023 0.148257968865827 0.740740740740741 0.519112789051439 1.15160239412077 1.3338549290798 1.75615373542536
"in" 1.43702254518353 0.600944341107455 0.851659336265494 1.09285058813715 0.939712508045484 0.876201243640475 0.795066131668896 0.935963908154333 0.950570342205323 1.13052415210689 0.673854447439353 0.813008130081301 0.687547746371276 0.741289844329133 1.48148148148148 0.755073147711185 1.23241659721696 1.24425824037151 1.31351662588168
"das" 1.12493012856344 1.58821004435542 1.08356657337065 1.40151831150413 1.3301866552242 1.46975692481628 1.11086342695794 1.09756918726012 1.18821292775665 1.43884892086331 0.943396226415094 2.03252032520325 1.14591291061879 0.963676797627873 2.96296296296296 1.55733836715432 1.3511124580145 1.15339962647014 1.11353307697053
"sich" 1.06049313707223 1.04449849763915 0.843662534986006 0.692416784850254 1.29585925767003 0.508762012436405 0.501560410164958 0.707023096087806 1.28326996197719 0.822199383350462 0.920934411500449 1.15176151761518 0.611153552330023 1.26019273535953 2.22222222222222 0.755073147711185 0.808142030961942 1.62283579829388 1.29706553702523
