"Auto_Italienische_Reise.11f7b.0" "Drama_Die_Mitschuldigen.11hb1.0" "Drama_Egmont.11g9w.0" "Drama_Faust_Der_Trag_die_zweiter_Teil.11d11.0" "Drama_Faust_in_urspr_nglicher_Gestalt_.11f7n.0" "Drama_G_tter_Helden_und_Wieland.11h60.0" "Drama_G_tz_von_Berlichingen_mit_der_eisernen_Hand.11g1d.0" "Drama_Iphigenie_auf_Tauris.11f78.0" "Drama_Prometheus.11gx9.0" "Drama_Satyros_oder_der_verg_tterte_Waldteufel.11gn9.0" "Lyrik_Elegien_1.11df4.0" "Lyrik_Elegien_2_Alexis_und_Dora.11g90.0" "Lyrik_Elegien_2_Der_neue_Pausias_und_sein_Blumenm_dchen.11g73.0" "Lyrik_Elegien_2_Euphrosyne.11ft0.0" "Lyrik_Gott_Gem_t_und_Welt.11hks.0" "Lyrik_Zahme_Xenien_4.11d4r.0" "Roman_Die_Leiden_des_jungen_Werther.11cvr.0" "Roman_Die_Wahlverwandtschaften.11hnp.0" "Roman_Wilhelm_Meisters_Lehrjahre.11d3w.0"
"und" 3.60226072914726 2.42117866170015 3.30520938153108 2.64076047216129 3.18185461248698 3.94021739130435 3.11092342342342 3.30431341511674 4.97262773722628 3.45932094811019 3.72866127583109 3.5230352303523 3.63372093023256 4.00296515937732 4.2962962962963 2.83152430391694 3.73694351485651 3.2683862500631 3.7431368113677
"die" 2.86628159741631 1.30371158706931 2.17122068271538 2.02026532957276 1.8674360823916 1.875 1.57305743243243 2.33478432924416 1.45985401459854 1.21716848174247 3.12219227313567 4.3360433604336 3.56104651162791 2.44625648628614 2.51851851851852 1.79329872581406 2.31720920799108 2.34718085911867 2.35970305784614
"der" 2.41988075274828 2.926699481176 1.83450731480765 1.9513214248407 1.57089043840667 1.95652173913043 1.59065315315315 2.70412874290991 1.36861313868613 1.66559897501602 2.62803234501348 2.30352303523035 2.9796511627907 3.03928836174944 2.51851851851852 1.22699386503067 2.01551566778217 1.95472212407249 2.03582224598491
"ich" 1.63809701260791 3.01982173739524 2.13638826534561 1.70897315366134 2.24412919772381 2.1195652173913 2.6463963963964 1.91267642791189 2.41788321167883 2.46636771300448 1.99910152740341 2.1680216802168 2.9796511627907 1.40845070422535 0.296296296296296 2.26521944313355 3.06510495892911 0.82277522588461 1.55719837956775
"zu" 1.45487857897025 0.997738459491818 1.39329669479062 1.36843204846965 1.06596136891881 0.978260869565217 1.44636824324324 1.22675108824693 1.36861313868613 0.864830237027546 1.05570530098832 1.01626016260163 0.799418604651163 0.889547813194959 0.592592592592593 1.03822557810288 1.46029814420444 1.96481752561708 1.90524172818688
"sie" 0.845444382336501 2.195024610882 1.2965399798746 1.02789094327797 1.18618257593973 1.05978260869565 1.19650900900901 1.18058303653872 2.64598540145985 0.448430493273543 2.13387241689128 0.880758807588076 3.34302325581395 0.963676797627873 0.888888888888889 1.93487494100991 1.9876280296116 2.31184695371258 1.88827654280368
"er" 0.602447052978076 1.76932286816549 1.47457233532007 0.777185835161391 0.873607437685341 0.951086956521739 1.34783220720721 0.712307083498219 0.364963503649635 0.480461242793081 0.718778077268643 0.609756097560976 2.9796511627907 0.148257968865827 0.740740740740741 0.519112789051439 1.15353412432816 1.3338549290798 1.75615373542536
"in" 1.43702254518353 0.558733537315418 0.824367211084449 0.917162853859814 1.04993187464935 0.842391304347826 0.753096846846847 0.916765598206041 0.912408759124088 1.05701473414478 0.673854447439353 0.813008130081301 0.654069767441861 0.741289844329133 1.48148148148148 0.755073147711185 1.23719703883987 1.24425824037151 1.31351662588168
"das" 1.12493012856344 1.47665292004789 1.06045359547953 1.29530972526899 1.34647751863429 1.44021739130435 1.0522240990991 1.07505606120565 1.14051094890511 2.1460602178091 0.943396226415094 2.03252032520325 1.09011627906977 0.963676797627873 2.96296296296296 1.55733836715432 1.35381807118953 1.15339962647014 1.11353307697053
"sich" 1.06049313707223 0.971132100572037 0.816626673891168 1.26188237752011 0.665224012182416 0.489130434782609 0.475084459459459 0.692520775623269 1.23175182481752 0.76873798846893 0.920934411500449 1.15176151761518 0.581395348837209 1.26019273535953 2.22222222222222 0.755073147711185 0.803671027279181 1.62283579829388 1.29706553702523
